Frequency (Hz)	Level (dB)
0.976562	-95.300156
1.953125	-95.227882
2.929688	-95.079910
3.906250	-94.285156
4.882812	-94.594589
5.859375	-93.436264
6.835938	-92.402435
7.812500	-93.538521
8.789062	-93.292587
9.765625	-90.690926
10.742188	-88.394348
11.718750	-87.498772
12.695312	-87.566071
13.671875	-87.630867
14.648438	-87.970375
15.625000	-86.814407
16.601562	-87.205696
17.578125	-86.764244
18.554688	-86.273170
19.531250	-86.396286
20.507812	-86.655220
21.484375	-85.161133
22.460938	-84.412422
23.437500	-83.169037
24.414062	-85.941879
25.390625	-84.641701
26.367188	-83.089134
27.343750	-82.524986
28.320312	-83.639137
29.296875	-83.321861
30.273438	-83.770393
31.250000	-84.257561
32.226562	-85.108559
33.203125	-84.827751
34.179688	-84.579071
35.156250	-83.909126
36.132812	-83.340904
37.109375	-82.762627
38.085938	-84.402695
39.062500	-84.301018
40.039062	-84.406960
41.015625	-83.753685
41.992188	-83.590240
42.968750	-84.048080
43.945312	-83.082413
44.921875	-83.252441
45.898438	-82.701447
46.875000	-81.872520
47.851562	-82.999207
48.828125	-82.515648
49.804688	-82.230186
50.781250	-81.061325
51.757812	-81.698029
52.734375	-81.710106
53.710938	-80.505753
54.687500	-80.874466
55.664062	-79.268265
56.640625	-79.340370
57.617188	-78.520866
58.593750	-78.956253
59.570312	-78.911522
60.546875	-78.607849
61.523438	-78.810791
62.500000	-78.603928
63.476562	-78.677589
64.453125	-81.177055
65.429688	-82.216263
66.406250	-81.773796
67.382812	-82.159233
68.359375	-82.971664
69.335938	-80.853279
70.312500	-80.493584
71.289062	-81.245041
72.265625	-81.262543
73.242188	-80.827042
74.218750	-81.095589
75.195312	-79.902168
76.171875	-80.992218
77.148438	-81.112534
78.125000	-82.038132
79.101562	-82.158051
80.078125	-81.793686
81.054688	-81.922356
82.031250	-82.471748
83.007812	-82.197144
83.984375	-81.282455
84.960938	-81.334763
85.937500	-81.487267
86.914062	-80.612206
87.890625	-81.591629
88.867188	-82.094292
89.843750	-81.574020
90.820312	-81.408829
91.796875	-81.629692
92.773438	-81.707756
93.750000	-81.788376
94.726562	-81.534569
95.703125	-82.118500
96.679688	-81.279831
97.656250	-81.970963
98.632812	-81.704803
99.609375	-82.047447
100.585938	-82.317657
101.562500	-81.682854
102.539062	-82.102402
103.515625	-82.346123
104.492188	-82.413750
105.468750	-81.751572
106.445312	-82.251671
107.421875	-82.846878
108.398438	-81.818016
109.375000	-81.532173
110.351562	-81.255699
111.328125	-81.006935
112.304688	-80.620422
113.281250	-81.325966
114.257812	-80.370567
115.234375	-80.297691
116.210938	-81.192734
117.187500	-79.964699
118.164062	-78.396843
119.140625	-76.504562
120.117188	-72.011147
121.093750	-75.370354
122.070312	-75.484032
123.046875	-79.838005
124.023438	-80.415298
125.000000	-79.536835
125.976562	-80.121223
126.953125	-80.478409
127.929688	-81.692253
128.906250	-80.247040
129.882812	-80.005394
130.859375	-80.655899
131.835938	-80.554749
132.812500	-81.189392
133.789062	-80.197289
134.765625	-79.849411
135.742188	-80.410614
136.718750	-79.556030
137.695312	-81.061638
138.671875	-80.325478
139.648438	-78.955971
140.625000	-79.183037
141.601562	-79.260002
142.578125	-79.972786
143.554688	-80.146301
144.531250	-80.193642
145.507812	-79.634048
146.484375	-79.383240
147.460938	-79.792137
148.437500	-79.506561
149.414062	-80.038910
150.390625	-80.388367
151.367188	-79.204353
152.343750	-79.631172
153.320312	-79.129036
154.296875	-79.003906
155.273438	-79.759117
156.250000	-80.001160
157.226562	-77.965904
158.203125	-77.918594
159.179688	-78.103287
160.156250	-78.108292
161.132812	-78.859367
162.109375	-79.057442
163.085938	-78.510201
164.062500	-78.451065
165.039062	-79.401802
166.015625	-78.127632
166.992188	-79.137360
167.968750	-78.895599
168.945312	-77.848381
169.921875	-77.967514
170.898438	-77.963013
171.875000	-77.869812
172.851562	-78.965744
173.828125	-77.915886
174.804688	-78.137077
175.781250	-77.909431
176.757812	-78.030090
177.734375	-77.658684
178.710938	-77.648232
179.687500	-78.211838
180.664062	-77.512688
181.640625	-78.201004
182.617188	-77.623489
183.593750	-77.329575
184.570312	-77.983459
185.546875	-77.166740
186.523438	-76.913834
187.500000	-77.896202
188.476562	-76.842422
