Frequency (Hz)	Level (dB)
0.976562	-94.586449
1.953125	-94.590828
2.929688	-94.583694
3.906250	-93.582283
4.882812	-93.328026
5.859375	-93.105576
6.835938	-92.198029
7.812500	-92.807289
8.789062	-92.536377
9.765625	-91.140114
10.742188	-88.909370
11.718750	-88.190529
12.695312	-89.354668
13.671875	-87.768913
14.648438	-88.458908
15.625000	-88.275177
16.601562	-87.474342
17.578125	-87.852211
18.554688	-86.132927
19.531250	-87.473457
20.507812	-86.886627
21.484375	-84.887642
22.460938	-84.370369
23.437500	-85.063416
24.414062	-84.992653
25.390625	-86.076897
26.367188	-85.515396
27.343750	-84.075294
28.320312	-83.634277
29.296875	-84.979218
30.273438	-85.229012
31.250000	-84.537117
32.226562	-84.907188
33.203125	-84.690277
34.179688	-85.557777
35.156250	-84.416054
36.132812	-84.856171
37.109375	-84.945671
38.085938	-84.906151
39.062500	-85.286003
40.039062	-84.694664
41.015625	-84.037369
41.992188	-84.523788
42.968750	-84.084198
43.945312	-84.544456
44.921875	-84.297600
45.898438	-83.170341
46.875000	-82.878464
47.851562	-82.565765
48.828125	-83.995796
49.804688	-82.780472
50.781250	-81.539391
51.757812	-82.096893
52.734375	-82.513260
53.710938	-81.168198
54.687500	-80.519363
55.664062	-81.424828
56.640625	-80.736984
57.617188	-79.559845
58.593750	-80.244690
59.570312	-78.950638
60.546875	-79.675079
61.523438	-80.183914
62.500000	-78.588379
63.476562	-79.042130
64.453125	-80.931541
65.429688	-82.466728
66.406250	-82.511368
67.382812	-82.305885
68.359375	-83.058212
69.335938	-81.941460
70.312500	-80.887047
71.289062	-81.507568
72.265625	-81.725060
73.242188	-81.464333
74.218750	-81.193909
75.195312	-81.267616
76.171875	-80.732986
77.148438	-82.119881
78.125000	-82.308975
79.101562	-82.579491
80.078125	-82.673553
81.054688	-82.961807
82.031250	-84.007721
83.007812	-82.430573
83.984375	-82.556335
84.960938	-81.294434
85.937500	-81.250732
86.914062	-81.139526
87.890625	-81.776611
88.867188	-81.932419
89.843750	-82.134651
90.820312	-81.974312
91.796875	-82.570633
92.773438	-82.726593
93.750000	-82.894875
94.726562	-83.439552
95.703125	-83.065155
96.679688	-82.373352
97.656250	-83.117004
98.632812	-83.006996
99.609375	-82.928299
100.585938	-82.680405
101.562500	-82.249382
102.539062	-82.105034
103.515625	-83.317146
104.492188	-82.465660
105.468750	-82.179337
106.445312	-82.633820
107.421875	-83.274147
108.398438	-81.937897
109.375000	-82.002014
110.351562	-82.084343
111.328125	-81.821930
112.304688	-81.480637
