Frequency (Hz)	Level (dB)
0.976562	-101.514366
1.953125	-101.428780
2.929688	-100.851654
3.906250	-98.075493
4.882812	-98.690018
5.859375	-97.288307
6.835938	-94.886772
7.812500	-97.196098
8.789062	-95.298302
9.765625	-93.360146
10.742188	-90.547424
11.718750	-88.123833
12.695312	-88.770821
13.671875	-88.448395
14.648438	-89.669411
15.625000	-88.598244
16.601562	-88.425163
17.578125	-88.235962
18.554688	-85.740028
19.531250	-87.679054
20.507812	-87.718254
21.484375	-85.701302
22.460938	-84.405266
23.437500	-84.998932
24.414062	-86.043198
25.390625	-85.915192
26.367188	-84.075256
27.343750	-84.570496
28.320312	-84.200951
29.296875	-84.621910
30.273438	-84.469620
31.250000	-85.146851
32.226562	-85.433189
33.203125	-85.364922
34.179688	-84.738586
35.156250	-83.875381
36.132812	-84.719917
37.109375	-84.177696
38.085938	-84.345718
39.062500	-84.507217
40.039062	-83.978241
41.015625	-83.616043
41.992188	-83.712082
42.968750	-83.194313
43.945312	-82.942329
44.921875	-83.651848
45.898438	-83.875443
46.875000	-82.035728
47.851562	-83.169571
48.828125	-82.971413
49.804688	-81.341835
50.781250	-80.697876
51.757812	-80.961693
52.734375	-80.606728
53.710938	-80.471069
54.687500	-80.545441
55.664062	-79.942940
56.640625	-79.069687
57.617188	-80.033195
58.593750	-78.893585
59.570312	-78.131897
60.546875	-79.016869
61.523438	-77.487473
62.500000	-76.960670
63.476562	-78.032799
64.453125	-80.314217
65.429688	-82.099075
66.406250	-82.425606
67.382812	-82.394012
68.359375	-81.682419
69.335938	-80.242310
70.312500	-80.251862
71.289062	-80.581924
72.265625	-80.771324
73.242188	-80.214630
74.218750	-79.487679
75.195312	-79.883392
76.171875	-80.967674
77.148438	-82.301613
78.125000	-82.689850
79.101562	-82.146713
80.078125	-83.217751
81.054688	-84.269753
82.031250	-84.116173
83.007812	-83.788528
83.984375	-82.967155
84.960938	-81.359215
85.937500	-81.418945
86.914062	-80.282402
87.890625	-81.796600
88.867188	-82.201019
89.843750	-82.660622
90.820312	-82.035301
91.796875	-82.510933
92.773438	-83.735664
93.750000	-84.086891
94.726562	-84.377335
95.703125	-84.299789
96.679688	-83.947159
97.656250	-84.198036
98.632812	-84.299248
99.609375	-84.508926
100.585938	-84.256073
101.562500	-83.521080
102.539062	-83.261101
103.515625	-83.814819
104.492188	-83.998222
105.468750	-83.378601
106.445312	-84.563644
107.421875	-84.469688
108.398438	-85.026932
109.375000	-84.620934
110.351562	-83.751915
111.328125	-83.957848
112.304688	-83.892624
113.281250	-83.206940
114.257812	-82.335793
115.234375	-83.085060
116.210938	-83.806107
117.187500	-83.763161
118.164062	-84.622795
119.140625	-83.071007
120.117188	-82.076073
121.093750	-83.774689
122.070312	-84.285545
123.046875	-84.109329
124.023438	-84.029129
125.000000	-83.602196
125.976562	-84.388481
126.953125	-83.855179
127.929688	-84.983215
128.906250	-84.066193
129.882812	-83.406952
130.859375	-84.478226
131.835938	-83.670181
132.812500	-84.942215
133.789062	-84.623314
134.765625	-84.060593
135.742188	-84.372559
136.718750	-84.546432
137.695312	-85.388885
138.671875	-84.372559
139.648438	-85.414658
140.625000	-84.616859
