Frequency (Hz)	Level (dB)
0.976562	-96.487198
1.953125	-96.445473
2.929688	-96.443199
3.906250	-95.445854
4.882812	-95.525414
5.859375	-95.019600
6.835938	-94.543236
7.812500	-94.847786
8.789062	-94.052261
9.765625	-93.885147
10.742188	-91.125656
11.718750	-89.877487
12.695312	-89.631676
13.671875	-91.393433
14.648438	-90.783821
15.625000	-89.975082
16.601562	-89.277740
17.578125	-89.401505
18.554688	-88.823685
19.531250	-88.327652
20.507812	-88.821953
21.484375	-86.962845
22.460938	-86.489342
23.437500	-86.148666
24.414062	-87.044449
25.390625	-87.018242
26.367188	-87.008629
27.343750	-86.015083
28.320312	-85.574181
29.296875	-86.336555
30.273438	-86.312935
31.250000	-85.513046
32.226562	-86.915230
33.203125	-87.200668
34.179688	-86.604431
35.156250	-85.654984
36.132812	-86.415405
37.109375	-86.145241
38.085938	-86.209984
39.062500	-86.757515
40.039062	-85.612305
41.015625	-85.757065
41.992188	-85.438858
42.968750	-85.558540
43.945312	-85.729286
44.921875	-85.292534
45.898438	-84.417656
46.875000	-83.217026
47.851562	-84.989479
48.828125	-84.796669
49.804688	-83.755157
50.781250	-83.131981
51.757812	-82.949013
52.734375	-83.526299
53.710938	-82.061104
54.687500	-82.011719
55.664062	-81.883995
56.640625	-80.206154
57.617188	-80.577553
58.593750	-80.898880
59.570312	-80.419174
60.546875	-79.288628
61.523438	-80.169472
62.500000	-79.311531
63.476562	-79.174324
64.453125	-83.466522
65.429688	-84.070320
66.406250	-84.386513
67.382812	-83.846344
68.359375	-83.951935
69.335938	-84.223648
70.312500	-82.539131
71.289062	-83.356468
72.265625	-83.598724
73.242188	-82.160553
74.218750	-82.580307
75.195312	-81.695847
76.171875	-83.456360
77.148438	-83.330940
78.125000	-83.715637
79.101562	-84.638329
80.078125	-84.215950
81.054688	-84.596657
82.031250	-85.284592
83.007812	-85.037033
83.984375	-84.088791
84.960938	-82.985161
85.937500	-83.013741
86.914062	-82.302467
87.890625	-82.955055
88.867188	-82.659149
89.843750	-83.349419
90.820312	-82.914207
91.796875	-83.375427
92.773438	-84.685997
93.750000	-84.710518
94.726562	-84.983208
95.703125	-84.546700
96.679688	-84.310555
97.656250	-84.883400
98.632812	-84.498642
99.609375	-84.317558
100.585938	-85.097565
101.562500	-84.007156
102.539062	-84.282768
103.515625	-85.084778
104.492188	-84.493195
105.468750	-82.789001
106.445312	-84.688240
107.421875	-85.752029
108.398438	-84.765846
109.375000	-84.589828
110.351562	-83.599617
111.328125	-83.581131
112.304688	-83.568130
113.281250	-83.298660
114.257812	-82.171265
115.234375	-82.555901
116.210938	-83.481529
117.187500	-82.604156
118.164062	-82.906975
119.140625	-82.307350
120.117188	-78.361580
121.093750	-81.107208
122.070312	-82.734230
123.046875	-83.433899
124.023438	-83.621597
125.000000	-82.783897
125.976562	-83.292244
126.953125	-82.976730
127.929688	-84.609665
128.906250	-82.439476
129.882812	-82.484901
130.859375	-83.708244
131.835938	-83.388718
132.812500	-83.922943
133.789062	-83.438980
134.765625	-82.762726
135.742188	-83.140602
136.718750	-83.094154
137.695312	-84.054672
138.671875	-83.094971
139.648438	-83.005150
140.625000	-82.750877
141.601562	-83.000923
142.578125	-83.115250
143.554688	-83.026329
144.531250	-83.515488
145.507812	-82.608421
146.484375	-82.291306
147.460938	-83.559662
148.437500	-83.199127
149.414062	-83.039673
150.390625	-83.320259
151.367188	-82.684654
152.343750	-83.163826
153.320312	-83.179314
154.296875	-83.116211
155.273438	-83.719536
156.250000	-83.997322
157.226562	-82.522263
158.203125	-82.365318
159.179688	-82.824432
160.156250	-82.595474
161.132812	-82.985405
162.109375	-82.753227
163.085938	-82.734428
164.062500	-82.144821
165.039062	-82.841057
166.015625	-82.261742
166.992188	-83.191597
167.968750	-82.745735
168.945312	-82.156464
169.921875	-82.314674
170.898438	-81.833626
171.875000	-81.797142
172.851562	-82.907837
173.828125	-81.876633
174.804688	-82.580124
175.781250	-82.596771
176.757812	-82.796318
177.734375	-82.056183
178.710938	-81.795380
179.687500	-82.703987
180.664062	-82.190628
181.640625	-82.542221
182.617188	-81.950562
183.593750	-82.241600
184.570312	-82.674362
185.546875	-81.965233
186.523438	-81.827377
187.500000	-82.431870
188.476562	-81.520493
189.453125	-82.064888
190.429688	-81.379929
191.406250	-81.487457
192.382812	-83.118279
193.359375	-81.635872
194.335938	-81.620224
195.312500	-81.634766
196.289062	-82.035774
197.265625	-82.004646
198.242188	-81.513290
199.218750	-81.025558
200.195312	-81.338997
201.171875	-82.618881
202.148438	-81.857918
203.125000	-81.688454
204.101562	-82.236328
