Frequency (Hz)	Level (dB)
0.976562	-97.449562
1.953125	-97.313385
2.929688	-97.209145
3.906250	-95.969833
4.882812	-96.623764
5.859375	-94.935829
6.835938	-94.584015
7.812500	-95.301567
8.789062	-94.486320
9.765625	-92.914604
10.742188	-90.179001
11.718750	-89.237152
12.695312	-89.225471
13.671875	-88.482651
14.648438	-88.547165
15.625000	-88.502625
16.601562	-88.885452
17.578125	-88.605591
18.554688	-87.115181
19.531250	-87.770287
20.507812	-88.221283
21.484375	-85.529198
22.460938	-85.647827
23.437500	-84.784462
24.414062	-86.237259
25.390625	-86.638000
26.367188	-85.312096
27.343750	-84.758881
28.320312	-85.087151
29.296875	-84.745270
30.273438	-85.666641
31.250000	-86.067894
32.226562	-85.885033
33.203125	-85.890236
34.179688	-86.182007
35.156250	-85.281540
36.132812	-84.649971
37.109375	-85.014214
38.085938	-85.296616
39.062500	-85.376244
40.039062	-85.635391
41.015625	-85.637352
41.992188	-84.721954
42.968750	-84.776474
43.945312	-84.747917
44.921875	-85.136101
45.898438	-83.657379
46.875000	-83.838730
47.851562	-84.366035
48.828125	-84.268028
49.804688	-83.375084
50.781250	-82.102524
51.757812	-82.740891
52.734375	-82.778946
53.710938	-82.230804
54.687500	-81.722076
55.664062	-80.973656
56.640625	-80.166573
57.617188	-80.371040
58.593750	-80.833519
59.570312	-80.678413
60.546875	-80.772713
61.523438	-79.779648
62.500000	-79.099571
63.476562	-79.376892
64.453125	-82.355850
65.429688	-83.642784
66.406250	-82.694374
67.382812	-83.613998
68.359375	-83.792908
69.335938	-83.675034
70.312500	-81.460762
71.289062	-81.449570
72.265625	-82.914093
73.242188	-82.128609
74.218750	-81.379829
75.195312	-81.501846
76.171875	-82.215858
77.148438	-83.420845
78.125000	-83.932587
79.101562	-83.556831
80.078125	-83.254471
81.054688	-84.018791
82.031250	-84.329674
83.007812	-83.876297
83.984375	-83.539268
84.960938	-82.733238
85.937500	-82.709236
86.914062	-81.777008
87.890625	-82.658539
88.867188	-83.043571
89.843750	-83.760170
90.820312	-83.680817
91.796875	-82.897987
92.773438	-84.510109
93.750000	-84.757362
94.726562	-83.838181
95.703125	-84.378914
96.679688	-83.460945
97.656250	-84.285347
98.632812	-83.782814
99.609375	-83.991188
100.585938	-84.198418
101.562500	-83.701378
102.539062	-84.030167
103.515625	-84.092773
104.492188	-83.886818
105.468750	-83.088333
106.445312	-83.418854
107.421875	-84.687492
108.398438	-84.249039
109.375000	-84.046249
110.351562	-83.007439
111.328125	-83.404190
112.304688	-83.424248
113.281250	-83.410446
114.257812	-82.416084
115.234375	-82.436836
116.210938	-83.084846
117.187500	-82.882195
118.164062	-81.021149
119.140625	-80.838516
120.117188	-73.079742
121.093750	-78.277328
122.070312	-79.651978
123.046875	-82.234657
124.023438	-82.384384
125.000000	-81.460472
125.976562	-82.952827
126.953125	-82.562584
127.929688	-83.725006
128.906250	-82.022888
129.882812	-81.713348
130.859375	-82.810814
131.835938	-82.872574
