Frequency (Hz)	Level (dB)
0.976562	-95.849136
1.953125	-95.831642
2.929688	-95.596939
3.906250	-95.077827
4.882812	-95.587494
5.859375	-94.808998
6.835938	-93.776337
7.812500	-94.240540
8.789062	-93.440758
9.765625	-92.903275
10.742188	-91.523361
11.718750	-90.009163
12.695312	-90.175514
13.671875	-90.390823
14.648438	-89.647705
15.625000	-89.246140
16.601562	-90.231720
17.578125	-89.314163
18.554688	-88.789772
19.531250	-88.819626
20.507812	-89.021523
21.484375	-87.282806
22.460938	-86.585281
23.437500	-86.821274
24.414062	-88.042130
25.390625	-87.824661
26.367188	-86.729446
27.343750	-86.408401
28.320312	-86.623291
29.296875	-86.963112
30.273438	-86.982132
31.250000	-86.787056
32.226562	-87.759911
33.203125	-87.370224
34.179688	-86.698944
35.156250	-87.238647
36.132812	-86.210213
37.109375	-86.498482
38.085938	-87.208527
39.062500	-87.047241
40.039062	-86.911568
41.015625	-86.537613
41.992188	-86.453606
42.968750	-87.796593
43.945312	-87.150642
44.921875	-86.574417
45.898438	-86.035255
46.875000	-84.692177
47.851562	-85.625862
48.828125	-86.080101
49.804688	-84.547638
50.781250	-84.638809
51.757812	-84.752495
52.734375	-83.826546
53.710938	-83.442032
54.687500	-83.295341
55.664062	-82.331871
56.640625	-82.778297
57.617188	-82.473358
58.593750	-80.752327
59.570312	-78.554039
60.546875	-81.903572
61.523438	-81.164345
62.500000	-80.224243
63.476562	-81.491653
64.453125	-83.782730
65.429688	-85.174530
66.406250	-85.544037
67.382812	-86.392342
68.359375	-85.866905
69.335938	-84.905441
70.312500	-83.946861
71.289062	-83.782539
72.265625	-84.944824
73.242188	-83.456032
74.218750	-83.254929
75.195312	-83.100349
76.171875	-84.801170
77.148438	-85.052238
78.125000	-85.806793
79.101562	-86.075500
80.078125	-86.472244
81.054688	-85.316704
82.031250	-84.794121
83.007812	-84.024231
83.984375	-82.834213
84.960938	-82.200439
85.937500	-83.329155
86.914062	-84.076729
87.890625	-83.959167
88.867188	-84.359711
89.843750	-84.802292
90.820312	-83.285858
91.796875	-82.225891
92.773438	-81.339828
93.750000	-80.248573
94.726562	-84.363518
95.703125	-86.430565
96.679688	-85.525803
97.656250	-86.152924
98.632812	-85.519661
99.609375	-85.398499
100.585938	-84.919739
101.562500	-84.157906
102.539062	-83.367622
103.515625	-82.361221
104.492188	-82.109604
105.468750	-82.722778
106.445312	-83.165398
107.421875	-84.655174
108.398438	-83.361343
109.375000	-81.264641
110.351562	-81.214172
111.328125	-79.699043
112.304688	-80.217773
113.281250	-78.784859
114.257812	-77.303017
115.234375	-76.601181
116.210938	-75.579193
117.187500	-74.243370
118.164062	-70.320328
119.140625	-67.391289
120.117188	-59.466248
121.093750	-64.135544
122.070312	-63.474537
123.046875	-72.380875
124.023438	-75.970711
125.000000	-71.677773
125.976562	-76.758896
126.953125	-77.169273
127.929688	-78.673553
128.906250	-75.718315
129.882812	-75.250252
130.859375	-75.124641
131.835938	-75.324631
132.812500	-74.719261
133.789062	-74.045090
134.765625	-71.964890
135.742188	-72.253975
136.718750	-72.078857
137.695312	-71.447212
138.671875	-68.970566
139.648438	-66.741035
140.625000	-69.156143
141.601562	-70.983475
142.578125	-70.486748
143.554688	-69.185707
144.531250	-69.773819
145.507812	-69.692451
146.484375	-70.901474
147.460938	-70.953758
148.437500	-69.122208
149.414062	-70.004242
150.390625	-68.845955
151.367188	-67.780464
152.343750	-69.637566
153.320312	-69.522003
154.296875	-70.286407
155.273438	-69.700500
156.250000	-69.274651
157.226562	-68.939003
158.203125	-68.226807
159.179688	-68.286102
160.156250	-68.914566
161.132812	-70.691193
162.109375	-72.731293
163.085938	-73.738716
164.062500	-75.359756
165.039062	-75.772491
166.015625	-75.180115
166.992188	-76.491127
167.968750	-77.482033
168.945312	-76.977882
169.921875	-77.638252
170.898438	-77.454376
171.875000	-78.469505
172.851562	-79.193878
173.828125	-78.941772
174.804688	-79.586670
175.781250	-79.067825
176.757812	-78.884079
177.734375	-77.548553
178.710938	-78.153564
179.687500	-78.976242
180.664062	-79.469086
181.640625	-81.500900
182.617188	-80.881325
183.593750	-81.322632
184.570312	-81.920708
185.546875	-81.895546
186.523438	-81.722893
187.500000	-82.808510
188.476562	-81.265305
189.453125	-82.302757
190.429688	-81.923401
191.406250	-81.988510
192.382812	-83.138901
193.359375	-82.702484
194.335938	-82.244125
195.312500	-82.990364
196.289062	-82.957588
197.265625	-83.510025
198.242188	-82.680138
199.218750	-82.769272
200.195312	-83.198586
201.171875	-83.805077
202.148438	-83.815651
203.125000	-83.304634
204.101562	-83.706497
205.078125	-83.441841
206.054688	-83.839348
207.031250	-82.942245
208.007812	-82.844536
208.984375	-83.598679
209.960938	-84.019302
210.937500	-83.879135
211.914062	-83.380836
212.890625	-82.493355
213.867188	-83.664032
214.843750	-83.557114
215.820312	-83.436386
216.796875	-84.100906
217.773438	-83.331078
218.750000	-83.601700
219.726562	-84.240578
220.703125	-83.349236
221.679688	-82.248260
222.656250	-83.665955
223.632812	-83.303719
224.609375	-84.618904
225.585938	-84.975067
226.562500	-83.778946
227.539062	-83.402100
228.515625	-83.905151
229.492188	-82.949829
230.468750	-82.876625
231.445312	-83.366920
232.421875	-83.910973
233.398438	-84.143356
