Frequency (Hz)	Level (dB)
0.976562	-94.067787
1.953125	-93.906960
2.929688	-93.862396
3.906250	-92.827400
4.882812	-93.161621
5.859375	-92.072395
6.835938	-91.258011
7.812500	-92.592323
8.789062	-91.604294
9.765625	-89.912971
10.742188	-87.682396
11.718750	-87.003006
12.695312	-87.025658
13.671875	-86.554405
14.648438	-86.607399
15.625000	-86.337296
16.601562	-85.978516
17.578125	-87.028023
18.554688	-85.739868
19.531250	-86.416191
20.507812	-85.744301
21.484375	-84.266205
22.460938	-83.825912
23.437500	-83.473358
24.414062	-83.863289
25.390625	-83.986259
26.367188	-82.856346
27.343750	-82.655090
28.320312	-82.311089
29.296875	-84.270370
30.273438	-84.003319
31.250000	-83.406982
32.226562	-84.107559
33.203125	-83.911095
34.179688	-84.423759
35.156250	-83.803505
36.132812	-82.933586
37.109375	-83.004860
38.085938	-83.971153
39.062500	-84.341576
40.039062	-83.272858
41.015625	-83.217125
41.992188	-82.668144
42.968750	-82.517319
43.945312	-82.536125
44.921875	-83.334198
45.898438	-83.182404
46.875000	-81.419876
47.851562	-82.187119
48.828125	-82.438271
49.804688	-82.249100
50.781250	-80.776314
51.757812	-80.218452
52.734375	-81.095985
53.710938	-79.117119
54.687500	-79.578026
55.664062	-80.498276
56.640625	-78.860794
57.617188	-78.318802
58.593750	-78.962479
59.570312	-78.740913
60.546875	-78.038750
61.523438	-78.709007
62.500000	-76.293053
63.476562	-78.189034
64.453125	-80.627457
65.429688	-80.737213
66.406250	-81.008881
67.382812	-82.514328
68.359375	-82.176193
69.335938	-80.985207
70.312500	-80.268776
71.289062	-80.064171
72.265625	-81.110222
73.242188	-79.913216
74.218750	-79.902344
75.195312	-79.770638
76.171875	-80.722031
77.148438	-81.990211
78.125000	-82.178360
79.101562	-81.834496
80.078125	-82.593231
81.054688	-81.653786
82.031250	-82.984451
83.007812	-82.649101
83.984375	-81.602959
84.960938	-80.638054
85.937500	-80.711182
86.914062	-79.961426
87.890625	-81.336182
88.867188	-80.711975
89.843750	-81.173088
90.820312	-81.602615
91.796875	-80.470146
92.773438	-82.863724
93.750000	-81.838097
94.726562	-82.887093
95.703125	-82.552841
96.679688	-81.785713
97.656250	-82.221489
98.632812	-82.898895
99.609375	-82.303528
100.585938	-81.846252
101.562500	-81.559875
102.539062	-81.291100
103.515625	-82.362885
104.492188	-82.438324
105.468750	-80.722107
106.445312	-82.334526
107.421875	-82.944946
108.398438	-82.137291
109.375000	-81.531418
110.351562	-81.250175
111.328125	-81.230080
112.304688	-81.229034
113.281250	-81.397675
114.257812	-81.063744
115.234375	-80.817993
116.210938	-80.518822
117.187500	-80.903397
118.164062	-79.436104
119.140625	-78.923363
120.117188	-70.895485
121.093750	-76.687576
122.070312	-76.409569
123.046875	-80.339241
124.023438	-80.686882
125.000000	-79.832779
125.976562	-81.092514
126.953125	-81.010269
127.929688	-81.617439
128.906250	-80.408920
129.882812	-80.074486
130.859375	-81.662537
131.835938	-81.351906
132.812500	-82.085342
133.789062	-80.864525
134.765625	-80.090401
135.742188	-80.868103
136.718750	-80.691811
137.695312	-81.486366
138.671875	-80.032021
139.648438	-80.311790
140.625000	-80.602394
141.601562	-80.942947
142.578125	-80.641052
143.554688	-80.427399
144.531250	-80.739273
145.507812	-80.584053
146.484375	-79.508392
147.460938	-80.551346
148.437500	-80.307686
149.414062	-80.445839
150.390625	-80.981743
151.367188	-79.975166
152.343750	-80.391930
153.320312	-80.242310
154.296875	-80.429329
155.273438	-80.590118
156.250000	-80.754517
157.226562	-79.534203
158.203125	-79.666245
159.179688	-78.944489
160.156250	-79.254227
161.132812	-79.365601
162.109375	-80.158852
163.085938	-79.956627
164.062500	-79.223213
165.039062	-79.775932
166.015625	-79.176918
166.992188	-80.453110
167.968750	-79.816475
168.945312	-79.009407
169.921875	-79.648079
170.898438	-78.689659
171.875000	-78.675690
172.851562	-79.735428
173.828125	-78.454605
174.804688	-79.210075
175.781250	-78.834000
176.757812	-79.414818
177.734375	-78.560982
178.710938	-79.010445
179.687500	-79.545082
180.664062	-79.126389
181.640625	-79.513107
182.617188	-78.715714
183.593750	-78.677452
184.570312	-79.329727
185.546875	-78.597084
186.523438	-78.675751
187.500000	-79.251587
188.476562	-78.282257
189.453125	-79.018761
190.429688	-77.857346
191.406250	-77.627373
192.382812	-79.276939
193.359375	-78.229568
194.335938	-77.889977
195.312500	-77.997543
196.289062	-77.940697
197.265625	-78.029984
198.242188	-77.530190
199.218750	-77.374458
200.195312	-77.687889
201.171875	-77.971397
202.148438	-77.584602
203.125000	-77.636467
204.101562	-77.790833
205.078125	-77.441055
206.054688	-77.730095
207.031250	-76.723244
208.007812	-77.023651
208.984375	-77.091850
209.960938	-77.153229
210.937500	-77.362366
211.914062	-76.501526
212.890625	-75.774063
213.867188	-76.876633
214.843750	-76.424156
215.820312	-75.779129
216.796875	-76.176338
217.773438	-75.743492
218.750000	-75.717819
219.726562	-75.308342
220.703125	-74.494873
221.679688	-74.765518
222.656250	-75.712555
223.632812	-75.418152
224.609375	-76.423378
225.585938	-76.271255
226.562500	-75.225655
227.539062	-74.902718
228.515625	-75.106377
229.492188	-74.424423
230.468750	-74.037521
231.445312	-74.390366
232.421875	-74.704865
233.398438	-75.015640
234.375000	-73.556366
235.351562	-74.233543
236.328125	-72.909470
237.304688	-72.015358
238.281250	-72.060013
239.257812	-73.290199
240.234375	-73.090828
241.210938	-68.955261
242.187500	-71.684975
243.164062	-72.104454
244.140625	-72.331131
245.117188	-72.610161
246.093750	-73.183868
247.070312	-72.749260
248.046875	-71.449806
249.023438	-70.944115
250.000000	-71.081169
250.976562	-71.444008
251.953125	-71.367783
252.929688	-70.754417
253.906250	-71.894249
254.882812	-70.416306
255.859375	-69.396416
256.835938	-69.299011
257.812500	-69.598251
258.789062	-69.427452
259.765625	-68.428505
260.742188	-69.153236
261.718750	-67.987480
262.695312	-68.258064
263.671875	-68.118004
264.648438	-67.677673
265.625000	-68.058762
266.601562	-65.983604
267.578125	-67.373901
268.554688	-66.983467
269.531250	-66.035843
270.507812	-65.101860
271.484375	-65.290321
272.460938	-65.505722
273.437500	-65.634277
274.414062	-64.777771
275.390625	-65.146454
276.367188	-64.652718
277.343750	-63.944271
278.320312	-64.192314
279.296875	-63.827911
280.273438	-63.535835
281.250000	-63.828175
282.226562	-63.172001
283.203125	-62.796719
284.179688	-62.562378
285.156250	-63.027409
