Frequency (Hz)	Level (dB)
0.976562	-90.888863
1.953125	-90.882607
2.929688	-90.752983
3.906250	-90.220276
4.882812	-90.378502
5.859375	-90.234398
6.835938	-89.450066
7.812500	-90.435532
8.789062	-90.372200
9.765625	-88.769867
10.742188	-87.242653
11.718750	-86.232605
12.695312	-86.587349
13.671875	-85.989967
14.648438	-87.038933
15.625000	-86.207947
16.601562	-85.895782
17.578125	-86.834557
18.554688	-85.498077
19.531250	-85.411575
20.507812	-85.680916
21.484375	-84.059731
22.460938	-83.635414
23.437500	-82.602936
24.414062	-84.177628
25.390625	-83.952805
26.367188	-83.483162
27.343750	-82.424286
28.320312	-82.214302
29.296875	-82.272758
30.273438	-83.344391
31.250000	-83.694160
32.226562	-83.420639
33.203125	-84.430725
34.179688	-84.036118
35.156250	-83.516167
36.132812	-82.267906
37.109375	-84.194641
38.085938	-83.428764
39.062500	-83.905540
40.039062	-83.049622
41.015625	-82.395859
41.992188	-82.468262
42.968750	-83.590721
43.945312	-83.204964
44.921875	-82.825539
45.898438	-82.680305
46.875000	-81.245697
47.851562	-82.207550
48.828125	-83.251778
49.804688	-81.472969
50.781250	-80.468910
51.757812	-81.039055
52.734375	-81.025414
53.710938	-80.282104
54.687500	-80.048523
55.664062	-79.656105
56.640625	-78.344002
57.617188	-79.062408
58.593750	-79.476311
59.570312	-78.393181
60.546875	-78.714569
61.523438	-78.171089
62.500000	-76.547089
63.476562	-77.115425
64.453125	-80.625931
65.429688	-81.110619
66.406250	-80.909760
67.382812	-80.983337
68.359375	-81.674820
69.335938	-80.722282
70.312500	-79.810562
71.289062	-81.027100
72.265625	-80.370224
73.242188	-78.696136
74.218750	-79.537193
75.195312	-79.236870
76.171875	-79.936234
77.148438	-80.787247
78.125000	-80.518250
79.101562	-80.458588
80.078125	-80.849464
81.054688	-81.472290
82.031250	-81.426353
83.007812	-80.588249
83.984375	-79.228409
84.960938	-79.756981
85.937500	-80.086884
86.914062	-79.584816
87.890625	-80.015717
88.867188	-79.983879
89.843750	-79.604492
90.820312	-80.342964
91.796875	-79.711670
92.773438	-80.249962
93.750000	-79.975189
94.726562	-80.439102
95.703125	-80.342751
96.679688	-79.599396
97.656250	-80.527611
98.632812	-79.950600
99.609375	-80.201019
100.585938	-79.994431
101.562500	-80.020233
102.539062	-79.868149
103.515625	-80.662437
104.492188	-80.219513
105.468750	-79.166862
106.445312	-79.937744
107.421875	-80.931564
108.398438	-79.419632
109.375000	-79.130844
110.351562	-78.892197
111.328125	-78.674553
112.304688	-78.846977
113.281250	-79.163704
114.257812	-77.808907
115.234375	-78.009644
116.210938	-78.645821
117.187500	-77.431557
118.164062	-75.388893
119.140625	-74.312355
120.117188	-68.117043
121.093750	-72.671890
122.070312	-71.752869
123.046875	-77.790405
124.023438	-77.882774
125.000000	-76.448608
125.976562	-77.785889
126.953125	-77.623199
127.929688	-78.880875
128.906250	-77.382057
129.882812	-76.991959
130.859375	-78.171539
131.835938	-77.633293
132.812500	-78.033821
133.789062	-77.242622
134.765625	-76.321075
135.742188	-76.862846
136.718750	-76.090607
137.695312	-77.772064
138.671875	-76.847778
139.648438	-76.064735
140.625000	-76.417084
141.601562	-76.277237
142.578125	-76.369049
143.554688	-75.904945
144.531250	-76.582840
145.507812	-76.497772
146.484375	-75.625542
147.460938	-76.133049
148.437500	-75.414970
149.414062	-75.914352
150.390625	-76.163368
151.367188	-75.087631
152.343750	-75.414833
153.320312	-75.471413
154.296875	-75.356071
155.273438	-75.344284
156.250000	-75.710251
157.226562	-73.408051
158.203125	-73.382782
159.179688	-73.157173
160.156250	-73.311005
161.132812	-74.130302
162.109375	-74.499054
163.085938	-74.513138
164.062500	-73.871315
165.039062	-74.583817
166.015625	-73.163986
166.992188	-74.028152
167.968750	-73.885796
168.945312	-72.960030
169.921875	-73.181229
170.898438	-72.603752
171.875000	-72.450790
172.851562	-73.685379
173.828125	-72.129715
174.804688	-72.439247
175.781250	-72.708603
176.757812	-72.626457
177.734375	-72.424820
178.710938	-72.288002
179.687500	-72.579140
180.664062	-71.812996
181.640625	-72.120186
182.617188	-71.079247
183.593750	-71.055267
184.570312	-71.728256
185.546875	-70.861542
186.523438	-70.546822
187.500000	-71.198647
188.476562	-70.006096
189.453125	-70.338478
190.429688	-69.764885
191.406250	-69.000603
192.382812	-70.683258
193.359375	-69.201027
194.335938	-68.752754
195.312500	-68.806297
196.289062	-68.573036
197.265625	-68.413109
198.242188	-67.722954
199.218750	-67.098274
200.195312	-67.471191
201.171875	-67.838676
202.148438	-67.179367
203.125000	-66.717415
204.101562	-66.586632
205.078125	-66.221924
206.054688	-66.270058
207.031250	-64.875259
208.007812	-65.059479
208.984375	-65.379295
209.960938	-64.862762
210.937500	-64.631218
211.914062	-63.771011
212.890625	-62.633522
213.867188	-63.380253
214.843750	-63.027493
215.820312	-62.179157
216.796875	-62.467674
217.773438	-62.038956
218.750000	-61.612347
219.726562	-62.022671
220.703125	-60.215141
221.679688	-60.414314
222.656250	-61.669224
223.632812	-61.317646
224.609375	-62.664013
225.585938	-62.410675
226.562500	-61.534836
227.539062	-61.606922
228.515625	-62.030281
229.492188	-61.628807
230.468750	-61.680061
231.445312	-62.068817
232.421875	-63.075428
233.398438	-63.645321
234.375000	-62.637375
235.351562	-63.657406
236.328125	-62.790768
237.304688	-63.081219
238.281250	-62.768192
239.257812	-64.391640
240.234375	-65.153931
241.210938	-61.185093
242.187500	-62.553497
243.164062	-64.925980
244.140625	-65.822243
245.117188	-66.111885
246.093750	-67.386238
247.070312	-67.673683
248.046875	-66.370201
249.023438	-66.255783
250.000000	-67.063248
250.976562	-67.644211
251.953125	-68.295700
252.929688	-68.262115
253.906250	-69.260628
254.882812	-68.456711
255.859375	-68.025970
256.835938	-68.218193
257.812500	-68.982040
258.789062	-68.964684
259.765625	-68.459412
260.742188	-69.464096
261.718750	-69.066566
262.695312	-69.561066
263.671875	-69.807030
264.648438	-69.925133
265.625000	-70.798439
266.601562	-69.038918
267.578125	-70.648529
268.554688	-70.809753
269.531250	-70.700356
270.507812	-69.718895
271.484375	-70.186028
272.460938	-71.016243
273.437500	-71.500084
274.414062	-71.022125
275.390625	-71.917862
276.367188	-71.869179
277.343750	-71.457466
278.320312	-72.134026
279.296875	-72.190720
280.273438	-72.434151
281.250000	-72.671051
282.226562	-72.240822
283.203125	-72.216179
284.179688	-72.419090
285.156250	-73.066154
286.132812	-72.855942
287.109375	-72.781754
288.085938	-72.440292
289.062500	-71.684273
290.039062	-73.035561
291.015625	-73.278252
291.992188	-72.727249
292.968750	-73.101967
293.945312	-73.209198
294.921875	-73.799179
295.898438	-72.815239
296.875000	-73.288559
297.851562	-73.704613
298.828125	-73.371498
299.804688	-73.529907
300.781250	-74.175102
301.757812	-73.979172
302.734375	-72.817184
303.710938	-73.353706
304.687500	-73.463524
305.664062	-73.860718
306.640625	-73.701691
307.617188	-73.626152
308.593750	-72.933556
309.570312	-73.837852
310.546875	-73.694427
311.523438	-74.087997
312.500000	-73.824394
313.476562	-74.294914
314.453125	-73.849121
315.429688	-73.198196
316.406250	-72.966156
317.382812	-74.684547
318.359375	-73.950485
319.335938	-73.929855
320.312500	-74.774307
321.289062	-74.621338
322.265625	-74.612457
323.242188	-74.378365
324.218750	-74.815887
325.195312	-73.799606
326.171875	-74.206215
327.148438	-74.777069
328.125000	-73.821533
329.101562	-75.148865
330.078125	-74.164223
331.054688	-73.875038
332.031250	-73.777786
333.007812	-73.441360
333.984375	-73.798119
334.960938	-74.938362
335.937500	-73.830757
336.914062	-74.822723
337.890625	-73.121277
338.867188	-74.204109
339.843750	-73.940277
340.820312	-74.153671
341.796875	-74.593384
342.773438	-74.407227
343.750000	-73.783218
344.726562	-73.489029
345.703125	-74.470589
346.679688	-74.274940
347.656250	-73.383553
348.632812	-73.460091
349.609375	-73.948273
350.585938	-73.875229
351.562500	-73.822807
352.539062	-73.628868
353.515625	-73.977478
354.492188	-73.881866
355.468750	-73.443184
356.445312	-73.301277
357.421875	-73.289177
358.398438	-73.471527
359.375000	-73.728310
360.351562	-74.365799
361.328125	-73.855408
362.304688	-73.535500
363.281250	-73.401855
364.257812	-73.595360
365.234375	-73.501312
366.210938	-73.390968
367.187500	-73.088577
368.164062	-72.563339
369.140625	-73.540352
370.117188	-73.075867
371.093750	-72.359406
372.070312	-72.971741
373.046875	-72.640892
374.023438	-72.434471
375.000000	-73.213760
375.976562	-72.589142
376.953125	-73.074211
377.929688	-72.249786
378.906250	-72.189789
379.882812	-71.557220
380.859375	-72.445877
381.835938	-72.945900
382.812500	-72.761520
383.789062	-71.642143
384.765625	-71.955788
385.742188	-72.100281
386.718750	-72.057411
387.695312	-71.232414
388.671875	-72.282524
389.648438	-72.042976
390.625000	-71.353737
391.601562	-71.750565
392.578125	-71.529861
393.554688	-69.977341
394.531250	-70.984589
395.507812	-70.290184
396.484375	-69.904526
397.460938	-71.102051
398.437500	-70.415108
399.414062	-69.903168
400.390625	-70.229439
401.367188	-69.849579
402.343750	-70.035492
403.320312	-69.817017
404.296875	-69.203094
405.273438	-69.409805
406.250000	-69.604164
407.226562	-68.858444
408.203125	-68.595879
409.179688	-68.306465
410.156250	-69.024216
411.132812	-68.201233
412.109375	-67.802139
413.085938	-67.719475
414.062500	-67.746773
415.039062	-68.067467
416.015625	-66.779877
416.992188	-67.177704
417.968750	-66.967392
418.945312	-66.589653
419.921875	-66.376884
420.898438	-66.207558
421.875000	-65.912209
422.851562	-64.983749
423.828125	-66.042938
424.804688	-64.322281
